epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6952,1.11101,3.30017,0.17908,1.03816,1.05734,0.9704,0.96111,0.98473,0.71984,0.80959,0.8031,0.7423,0.23495,0.90194,3.09351,0.04961,0.69413,0.95125,0.000651852,0.000651852,0.000651852
2,38.6724,0.94148,3.01596,0.07202,0.63161,0.98517,0.93008,0.96077,0.98789,0.74081,0.88702,0.89417,0.89984,0.36494,0.88892,2.96341,0.02272,1.44512,0.9469,0.00118799,0.00118799,0.00118799
3,47.5056,0.89932,2.80963,0.06741,0.60796,0.96531,0.97894,0.98333,0.99411,0.78265,0.96611,0.96944,0.97461,0.42451,0.80855,2.43658,0.01894,0.6406,0.92398,0.00159212,0.00159212,0.00159212
4,56.1544,0.81998,2.4916,0.05026,0.53151,0.93774,0.99166,0.99064,0.99472,0.78563,0.97322,0.97222,0.97762,0.40542,0.8192,2.49979,0.01554,0.53137,0.92618,0.001406,0.001406,0.001406
5,64.291,0.80551,2.34424,0.03971,0.5068,0.92094,0.99163,0.98708,0.99427,0.79783,0.98885,0.98537,0.99376,0.55272,0.75953,1.8,0.01244,0.54642,0.90061,0.001208,0.001208,0.001208
6,72.7115,0.74241,1.91448,0.03698,0.45884,0.90521,1,0.99945,0.995,0.82781,0.99444,0.99393,0.99106,0.60288,0.70195,1.59436,0.01076,0.42385,0.87555,0.00101,0.00101,0.00101
7,81.577,0.71573,1.80521,0.03491,0.43384,0.88916,0.99722,0.99671,0.99497,0.84189,0.99722,0.99671,0.99497,0.64107,0.66751,1.46827,0.01027,0.39681,0.8694,0.000812,0.000812,0.000812
8,90.0939,0.66729,1.62163,0.02414,0.40558,0.86941,1,0.99477,0.995,0.84957,1,0.99477,0.995,0.6959,0.66654,1.29798,0.0098,0.38627,0.86875,0.000614,0.000614,0.000614
9,98.9376,0.64608,1.44749,0.02553,0.38799,0.86871,0.99868,1,0.995,0.86293,0.99313,0.99444,0.9923,0.72025,0.61341,1.19282,0.00898,0.35664,0.85165,0.000416,0.000416,0.000416
10,107.638,0.6131,1.3023,0.02769,0.36065,0.85535,0.99613,1,0.995,0.87361,0.99613,1,0.995,0.75107,0.59039,1.09734,0.00788,0.33403,0.84177,0.000218,0.000218,0.000218
